animal;HitRate;p_trials;Trials;stimulus;task;date
d;0.8258064516129032;20;3109;reward;['wnoise','twitter'];2021-02-19 13:07:00
d;0.8451612903225807;30;3109;wrong;['wnoise','twitter'];2021-02-22 15:08:24
d;0.8709677419354839;40;3109;reward;['wnoise','twitter'];2021-02-23 15:57:45
d;0.8806451612903226;50;3109;reward;['wnoise','twitter'];2021-02-25 13:53:41
d;0.9354838709677419;60;3109;reward;['wnoise','twitter'];2021-02-26 13:02:42
d;0.8838709677419355;70;3109;wrong;['wnoise','twitter'];2021-03-02 13:42:00
d;0.9290322580645162;80;3109;reward;['wnoise','twitter'];2021-03-09 14:59:18
d;0.8774193548387097;90;3109;reward;['wnoise','twitter'];2021-03-17 11:12:01
d;0.8903225806451613;100;3109;reward;['wnoise','twitter'];2021-03-22 15:58:32
i;0.8488372093023255;10;864;reward;['wnoise','twitter'];2021-02-19 13:12:15
i;0.8837209302325582;20;864;reward;['wnoise','twitter'];2021-02-19 12:31:06
i;0.6744186046511628;30;864;reward;['wnoise','twitter'];2021-02-22 13:08:05
i;0.5581395348837209;40;864;reward;['wnoise','twitter'];2021-02-23 14:04:45
i;0.627906976744186;50;864;wrong;['wnoise','twitter'];2021-02-25 14:54:24
i;0.6162790697674418;60;864;reward;['wnoise','twitter'];2021-03-01 16:20:09
i;0.6511627906976745;70;864;wrong;['wnoise','twitter'];2021-03-15 11:45:58
i;1.0;80;864;reward;['wnoise','twitter'];2021-03-20 13:16:41
i;0.9302325581395349;90;864;reward;['wnoise','twitter'];2021-03-22 15:06:13
i;0.8837209302325582;100;864;reward;['wnoise','twitter'];2021-03-24 13:28:41
